,5
Seq233,260.0
Seq234,242.2
Seq235,263.6
Seq236,243.5
Seq237,239.5
Seq238,262.8
Seq239,243.9
Seq240,261.8
Seq241,260.7
Seq242,261.8
Seq243,244.4
Seq244,242.5
Seq245,268.0
Seq246,267.4
Seq247,258.0
Seq248,259.7
Seq249,266.5
Seq250,267.7
Seq251,264.8
Seq252,243.8
Seq253,265.6
Seq254,264.5
Seq255,242.7
Seq256,260.1
Seq257,260.4
Seq258,260.6
Seq259,259.9
Seq260,242.6
Seq261,162.5
Seq262,258.5
Seq263,265.9
Seq264,266.9
Seq265,260.9
Seq266,260.6
Seq267,261.3
Seq268,258.7
Seq269,262.8
Seq270,262.4
Seq271,247.7
Seq272,83.1
Seq273,256.7
Seq274,257.0
Seq275,260.5
Seq276,264.0
Seq277,260.0
Seq278,260.5
Seq279,263.1
Seq280,263.9
Seq281,264.1
Seq282,266.8
Seq283,259.6
Seq284,260.6
Seq285,240.4
Seq286,263.6
Seq287,256.7
Seq288,236.6
Seq289,268.4
Seq290,266.2
Seq291,260.2
Seq292,260.5
Seq293,241.7
Seq294,242.7
Seq295,241.0
Seq296,246.3
Seq297,248.3
Seq298,253.6
Seq299,255.2
Seq300,265.7
Seq301,266.6
Seq302,264.5
Seq303,267.0
Seq304,258.2
Seq305,262.3
Seq306,263.7
Seq307,259.9
Seq308,255.0
Seq309,235.3
Seq310,259.9
Seq311,261.2
Seq312,255.8
Seq313,244.2
Seq314,239.9
Seq315,254.0
Seq316,260.1
Seq317,239.0
Seq318,264.4
Seq319,267.7
Seq320,260.3
Seq321,261.3
Seq322,261.2
Seq323,31.8
Seq324,239.1
Seq325,264.4
Seq326,265.4
Seq327,255.1
Seq328,243.0
Seq329,260.3
Seq330,265.4
Seq331,251.0
Seq332,236.7
Seq333,264.7
Seq334,249.3
Seq335,247.8
Seq336,253.0
Seq337,254.7
Seq338,265.9
Seq339,261.4
Seq340,242.9
Seq341,260.8
Seq342,257.4
Seq343,240.5
Seq344,110.0
Seq345,259.8
Seq346,244.4
Seq347,243.3
Seq348,258.4
Seq349,264.8
Seq350,233.8
Seq351,262.3
Seq352,257.0
Seq353,268.4
Seq354,268.4
Seq355,242.6
Seq356,242.4
Seq357,248.6
Seq358,256.8
Seq359,260.9
Seq360,250.6
Seq361,256.9
Seq362,261.6
Seq363,259.8
Seq364,179.4
Seq365,265.4
Seq366,236.3
Seq367,266.0
Seq368,260.7
Seq369,240.7
Seq370,262.2
Seq371,259.2
Seq372,241.5
Seq373,258.8
Seq374,257.9
Seq375,240.7
Seq376,259.6
Seq377,241.9
Seq378,261.0
Seq379,239.5
Seq380,266.3
Seq381,262.1
Seq382,262.8
Seq383,253.9
Seq384,259.9
Seq385,259.4
Seq386,262.6
Seq387,260.1
Seq388,246.8
Seq389,260.3
Seq390,257.4
Seq391,264.6
Seq392,260.0
Seq393,243.2
Seq394,265.3
Seq395,251.8
Seq396,269.5
Seq397,259.3
Seq398,263.1
Seq399,259.8
Seq400,257.1
Seq401,259.2
Seq402,238.9
Seq403,259.5
Seq404,237.1
Seq405,260.6
Seq406,242.3
Seq407,259.2
Seq408,235.9
Seq409,259.4
Seq410,265.6
Seq411,241.3
Seq412,270.9
Seq413,263.1
Seq414,239.0
Seq415,264.7
Seq416,73.7
Seq417,259.8
Seq418,265.6
Seq419,263.0
Seq420,266.7
Seq421,265.0
Seq422,263.6
Seq423,249.7
Seq424,261.5
Seq425,250.7
Seq426,253.7
Seq427,259.8
Seq428,242.2
Seq429,260.7
Seq430,260.9
Seq431,260.8
Seq432,254.0
Seq433,263.7
Seq434,238.7
Seq435,259.5
Seq436,260.7
Seq437,243.6
Seq438,260.6
Seq439,260.0
Seq440,259.3
Seq441,241.1
Seq442,264.2
Seq443,259.0
Seq444,264.8
Seq445,263.5
Seq446,266.5
Seq447,265.3
Seq448,259.2
Seq449,240.6
Seq450,263.3
Seq451,264.3
Seq452,242.1
Seq453,253.5
Seq454,266.3
Seq455,263.0
Seq456,260.6
Seq457,256.6
Seq458,262.4
Seq459,262.5
Seq460,242.6
Seq461,258.2
Seq462,257.7
Seq463,268.0
Seq464,258.0
Seq465,259.9
Seq466,258.5
Seq467,260.9
Seq468,241.3
Seq469,265.5
Seq470,264.3
Seq471,256.3
Seq472,261.2
Seq473,260.9
Seq474,264.4
Seq475,240.5
Seq476,263.9
Seq477,262.5
Seq478,260.3
Seq479,265.3
Seq480,265.6
Seq481,259.2
Seq482,260.5
Seq483,257.6
Seq484,258.4
Seq485,265.1
Seq486,260.5
Seq487,260.6
Seq488,235.0
Seq489,279.1
Seq490,243.4
Seq491,259.9
Seq492,258.1
Seq493,240.6
Seq494,263.0
Seq495,262.1
Seq496,262.9
Seq497,262.3
Seq498,260.9
Seq499,257.5
Seq500,233.2
Seq501,262.2
