# hmmsearch :: search profile(s) against a sequence database
# HMMER 3.3.2 (Nov 2020); http://hmmer.org/
# Copyright (C) 2020 Howard Hughes Medical Institute.
# Freely distributed under the BSD open source license.
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
# query HMM file:                  petml/data/unsupervised/jackhmmer_hmm_b04.txt
# target sequence database:        petml/data/tmp/sequences.fasta
# output directed to file:         ./petml_output/homolog_hmmout/output.txt
# MSA of all hits saved to file:   ./petml_output/homolog_hmmout/aln.sto
# per-seq hits tabular output:     ./petml_output/homolog_hmmout/tab_output.txt
# show alignments in output:       no
# sequence reporting threshold:    score >= 0
# domain reporting threshold:      score >= 0
# sequence inclusion threshold:    score >= 0
# domain inclusion threshold:      score >= 0
# - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

Query:       PETH_IDESA_b04  [M=314]
Scores for complete sequences (score includes all domains):
   --- full sequence ---   --- best 1 domain ---    -#dom-
    E-value  score  bias    E-value  score  bias    exp  N  Sequence Description
    8.1e-80  263.0   6.6    8.9e-80  262.9   6.6    1.0  1  Seq419    
    8.3e-80  263.0   0.3    9.1e-80  262.9   0.3    1.0  1  Seq455    
    9.2e-80  262.9   6.0      1e-79  262.7   6.0    1.0  1  Seq496    
    9.3e-80  262.8   3.2      1e-79  262.7   3.2    1.0  1  Seq186    
    9.5e-80  262.8   6.1      1e-79  262.7   6.1    1.0  1  Seq382    
    9.6e-80  262.8   0.1    1.1e-79  262.6   0.1    1.0  1  Seq269    
    9.7e-80  262.8   4.5    1.1e-79  262.6   4.5    1.0  1  Seq238    
    1.1e-79  262.6   3.2    1.2e-79  262.5   3.2    1.0  1  Seq386    
    1.2e-79  262.5   0.2    1.3e-79  262.4   0.2    1.0  1  Seq459    
    1.2e-79  262.5   5.1    1.3e-79  262.4   5.1    1.0  1  Seq21     
    1.2e-79  262.5   4.9    1.3e-79  262.3   4.9    1.0  1  Seq477    
    1.3e-79  262.4   4.4    1.4e-79  262.3   4.4    1.0  1  Seq270    
    1.3e-79  262.4   3.4    1.4e-79  262.2   3.4    1.0  1  Seq458    
    1.3e-79  262.3   6.1    1.4e-79  262.2   6.1    1.0  1  Seq305    
    1.3e-79  262.3   0.2    1.5e-79  262.2   0.2    1.0  1  Seq497    
    1.4e-79  262.3   3.3    1.5e-79  262.2   3.3    1.0  1  Seq351    
    1.4e-79  262.3   3.2    1.5e-79  262.1   3.2    1.0  1  Seq65     
    1.4e-79  262.2   2.9    1.6e-79  262.1   2.9    1.0  1  Seq501    
    1.5e-79  262.2   6.5    1.6e-79  262.1   6.5    1.0  1  Seq370    
    1.6e-79  262.1   1.5    1.7e-79  262.0   1.5    1.0  1  Seq381    
    1.6e-79  262.1   6.4    1.7e-79  261.9   6.4    1.0  1  Seq495    
    1.6e-79  262.1   4.7    1.8e-79  261.9   4.7    1.0  1  Seq69     
    1.7e-79  262.0   5.5    1.8e-79  261.9   5.5    1.0  1  Seq213    
    1.7e-79  262.0   3.1    1.8e-79  261.9   3.1    1.0  1  Seq101    
    1.8e-79  261.9   5.1      2e-79  261.8   5.1    1.0  1  Seq114    
    1.9e-79  261.8   5.4      2e-79  261.7   5.4    1.0  1  Seq240    
    1.9e-79  261.8   6.4      2e-79  261.7   6.4    1.0  1  Seq127    
    1.9e-79  261.8   5.6    2.1e-79  261.7   5.6    1.0  1  Seq242    
    1.9e-79  261.8   3.5    2.1e-79  261.7   3.5    1.0  1  Seq140    
    1.9e-79  261.8   3.3    2.1e-79  261.6   3.3    1.0  1  Seq144    
      2e-79  261.8   5.6    2.2e-79  261.6   5.6    1.0  1  Seq44     
      2e-79  261.7   1.2    2.2e-79  261.6   1.2    1.0  1  Seq116    
      2e-79  261.7   0.3    2.2e-79  261.6   0.3    1.0  1  Seq196    
    2.1e-79  261.6   0.1    2.6e-79  261.4   0.1    1.0  1  Seq150    
    2.1e-79  261.6   4.6    2.3e-79  261.5   4.6    1.0  1  Seq362    
    2.1e-79  261.6   5.8    2.3e-79  261.5   5.8    1.0  1  Seq113    
    2.1e-79  261.6   4.9    2.4e-79  261.5   4.9    1.0  1  Seq135    
    2.2e-79  261.6   3.1    2.5e-79  261.4   3.1    1.0  1  Seq27     
    2.3e-79  261.5   5.8    2.6e-79  261.4   5.8    1.0  1  Seq424    
    2.5e-79  261.4   4.7    2.8e-79  261.3   4.7    1.0  1  Seq222    
    2.6e-79  261.4   4.4    2.9e-79  261.2   4.4    1.0  1  Seq133    
    2.6e-79  261.4   5.7    2.9e-79  261.2   5.7    1.0  1  Seq339    
    2.7e-79  261.3   2.4    2.9e-79  261.2   2.4    1.0  1  Seq112    
    2.7e-79  261.3   3.5      3e-79  261.2   3.5    1.0  1  Seq267    
    2.8e-79  261.3   5.0      3e-79  261.2   5.0    1.0  1  Seq321    
    2.8e-79  261.3   0.2    3.1e-79  261.1   0.2    1.0  1  Seq221    
    2.8e-79  261.3   4.9      3e-79  261.1   4.9    1.0  1  Seq198    
    2.8e-79  261.2   5.9    3.1e-79  261.1   5.9    1.0  1  Seq54     
    2.9e-79  261.2   4.9    3.2e-79  261.1   4.9    1.0  1  Seq59     
    2.9e-79  261.2   2.9    3.2e-79  261.1   2.9    1.0  1  Seq311    
    2.9e-79  261.2   6.2    3.2e-79  261.1   6.2    1.0  1  Seq472    
      3e-79  261.2   4.7    3.2e-79  261.1   4.7    1.0  1  Seq25     
      3e-79  261.2   5.1    3.3e-79  261.0   5.1    1.0  1  Seq322    
      3e-79  261.1   6.0    3.3e-79  261.0   6.0    1.0  1  Seq226    
    3.1e-79  261.1   3.0    3.5e-79  261.0   3.0    1.0  1  Seq172    
    3.5e-79  261.0   3.2    3.8e-79  260.8   3.2    1.0  1  Seq378    
    3.5e-79  260.9   4.8    3.9e-79  260.8   4.8    1.0  1  Seq430    
    3.5e-79  260.9   5.2    3.9e-79  260.8   5.2    1.0  1  Seq467    
    3.6e-79  260.9   0.1    4.4e-79  260.6   0.1    1.0  1  Seq265    
    3.6e-79  260.9   3.4      4e-79  260.8   3.4    1.0  1  Seq359    
    3.6e-79  260.9   4.6      4e-79  260.8   4.6    1.0  1  Seq473    
    3.7e-79  260.9   5.4    4.1e-79  260.7   5.4    1.0  1  Seq498    
    3.8e-79  260.8   3.2    4.2e-79  260.7   3.2    1.0  1  Seq341    
    3.8e-79  260.8   5.0    4.2e-79  260.7   5.0    1.0  1  Seq431    
    3.9e-79  260.8   5.0    4.2e-79  260.7   5.0    1.0  1  Seq77     
      4e-79  260.8   5.2    4.3e-79  260.6   5.2    1.0  1  Seq177    
      4e-79  260.8   3.2    4.4e-79  260.6   3.2    1.0  1  Seq107    
      4e-79  260.8   6.2    4.4e-79  260.6   6.2    1.0  1  Seq134    
      4e-79  260.7   4.7    4.4e-79  260.6   4.7    1.0  1  Seq64     
    4.1e-79  260.7   5.3    4.5e-79  260.6   5.3    1.0  1  Seq241    
    4.1e-79  260.7   3.2    4.6e-79  260.6   3.2    1.0  1  Seq368    
    4.2e-79  260.7   4.7    4.5e-79  260.6   4.7    1.0  1  Seq429    
    4.2e-79  260.7   5.7    4.6e-79  260.6   5.7    1.0  1  Seq436    
    4.3e-79  260.7   4.9    4.7e-79  260.5   4.9    1.0  1  Seq95     
    4.3e-79  260.6   4.9    4.7e-79  260.5   4.9    1.0  1  Seq456    
    4.3e-79  260.6   5.4    4.7e-79  260.5   5.4    1.0  1  Seq487    
    4.3e-79  260.6   2.9    5.5e-79  260.3   2.9    1.0  1  Seq405    
    4.3e-79  260.6   4.7    4.7e-79  260.5   4.7    1.0  1  Seq86     
    4.4e-79  260.6   3.5    4.8e-79  260.5   3.5    1.0  1  Seq258    
    4.4e-79  260.6   4.8    4.8e-79  260.5   4.8    1.0  1  Seq266    
    4.5e-79  260.6   4.7    4.9e-79  260.5   4.7    1.0  1  Seq284    
    4.6e-79  260.6   5.3      5e-79  260.4   5.3    1.0  1  Seq438    
    4.6e-79  260.5   5.1      5e-79  260.4   5.1    1.0  1  Seq278    
    4.6e-79  260.5   5.2    5.1e-79  260.4   5.2    1.0  1  Seq210    
    4.7e-79  260.5   3.4    5.2e-79  260.4   3.4    1.0  1  Seq166    
    4.7e-79  260.5   3.2    5.2e-79  260.4   3.2    1.0  1  Seq183    
    4.7e-79  260.5   4.9    5.2e-79  260.4   4.9    1.0  1  Seq202    
    4.7e-79  260.5   5.1    5.2e-79  260.4   5.1    1.0  1  Seq486    
    4.7e-79  260.5   4.9    5.2e-79  260.4   4.9    1.0  1  Seq275    
    4.9e-79  260.5   5.0    5.3e-79  260.3   5.0    1.0  1  Seq482    
    4.9e-79  260.5   0.7    5.4e-79  260.3   0.7    1.0  1  Seq292    
    4.9e-79  260.5   5.0    5.3e-79  260.3   5.0    1.0  1  Seq169    
    4.9e-79  260.4   5.4    5.4e-79  260.3   5.4    1.0  1  Seq185    
      5e-79  260.4   5.0    5.5e-79  260.3   5.0    1.0  1  Seq137    
    5.1e-79  260.4   5.3    5.5e-79  260.3   5.3    1.0  1  Seq257    
    5.2e-79  260.4   5.6    5.7e-79  260.3   5.6    1.0  1  Seq220    
    5.4e-79  260.3   5.0    5.9e-79  260.2   5.0    1.0  1  Seq389    
    5.4e-79  260.3   0.4      6e-79  260.2   0.4    1.0  1  Seq320    
    5.6e-79  260.3   5.9    6.1e-79  260.2   5.9    1.0  1  Seq329    
    5.6e-79  260.3   5.0    6.2e-79  260.1   5.0    1.0  1  Seq478    
    5.6e-79  260.3   4.7    6.2e-79  260.1   4.7    1.0  1  Seq2      
    5.7e-79  260.2   2.7    6.3e-79  260.1   2.7    1.0  1  Seq214    
    5.9e-79  260.2   5.0    6.5e-79  260.1   5.0    1.0  1  Seq130    
      6e-79  260.2   5.1    6.5e-79  260.1   5.1    1.0  1  Seq139    
      6e-79  260.2   1.2    6.6e-79  260.0   1.2    1.0  1  Seq291    
      6e-79  260.2   4.8    6.6e-79  260.0   4.8    1.0  1  Seq149    
      6e-79  260.2   4.9    6.6e-79  260.0   4.9    1.0  1  Seq7      
    6.1e-79  260.1   5.2    6.7e-79  260.0   5.2    1.0  1  Seq316    
    6.1e-79  260.1   5.1    6.7e-79  260.0   5.1    1.0  1  Seq174    
    6.2e-79  260.1   5.0    6.7e-79  260.0   5.0    1.0  1  Seq115    
    6.2e-79  260.1   5.7    6.8e-79  260.0   5.7    1.0  1  Seq15     
    6.2e-79  260.1   5.7    6.8e-79  260.0   5.7    1.0  1  Seq68     
    6.3e-79  260.1   5.4    6.9e-79  260.0   5.4    1.0  1  Seq387    
    6.4e-79  260.1   5.3      7e-79  260.0   5.3    1.0  1  Seq256    
    6.4e-79  260.1   0.1    7.8e-79  259.8   0.1    1.0  1  Seq205    
    6.6e-79  260.0   5.6    7.2e-79  259.9   5.6    1.0  1  Seq6      
    6.6e-79  260.0   6.6    7.3e-79  259.9   6.6    1.0  1  Seq277    
    6.7e-79  260.0   0.2    7.3e-79  259.9   0.2    1.0  1  Seq63     
    6.8e-79  260.0   5.2    7.5e-79  259.9   5.2    1.0  1  Seq20     
    6.9e-79  260.0   5.2    7.5e-79  259.8   5.2    1.0  1  Seq439    
    6.9e-79  260.0   6.2    7.6e-79  259.8   6.2    1.0  1  Seq79     
      7e-79  260.0   5.1    7.6e-79  259.8   5.1    1.0  1  Seq392    
      7e-79  260.0   5.2    7.6e-79  259.8   5.2    1.0  1  Seq233    
      7e-79  260.0   5.1    7.6e-79  259.8   5.1    1.0  1  Seq219    
      7e-79  259.9   5.1    7.7e-79  259.8   5.1    1.0  1  Seq307    
    7.1e-79  259.9   5.0    7.8e-79  259.8   5.0    1.0  1  Seq181    
    7.2e-79  259.9   5.0    7.8e-79  259.8   5.0    1.0  1  Seq384    
    7.2e-79  259.9   4.9    7.9e-79  259.8   4.9    1.0  1  Seq259    
    7.3e-79  259.9   0.2      8e-79  259.8   0.2    1.0  1  Seq310    
    7.4e-79  259.9   4.9    8.1e-79  259.7   4.9    1.0  1  Seq491    
    7.5e-79  259.9   0.0    9.1e-79  259.6   0.0    1.0  1  Seq465    
    7.5e-79  259.9   5.6    8.2e-79  259.7   5.6    1.0  1  Seq104    
    7.6e-79  259.8   5.5    8.3e-79  259.7   5.5    1.0  1  Seq345    
    7.7e-79  259.8   5.9    8.4e-79  259.7   5.9    1.0  1  Seq427    
    7.8e-79  259.8   5.1    8.6e-79  259.7   5.1    1.0  1  Seq363    
    7.9e-79  259.8   5.1    8.6e-79  259.7   5.1    1.0  1  Seq399    
    7.9e-79  259.8   5.3    8.7e-79  259.6   5.3    1.0  1  Seq89     
      8e-79  259.8   5.4    8.8e-79  259.6   5.4    1.0  1  Seq417    
    8.4e-79  259.7   4.9    9.2e-79  259.6   4.9    1.0  1  Seq248    
    8.6e-79  259.7   5.8    9.4e-79  259.5   5.8    1.0  1  Seq53     
    8.7e-79  259.6   4.6    9.5e-79  259.5   4.6    1.0  1  Seq61     
    8.9e-79  259.6   5.1    9.8e-79  259.5   5.1    1.0  1  Seq283    
      9e-79  259.6   5.5    9.9e-79  259.5   5.5    1.0  1  Seq376    
    9.1e-79  259.6   5.1      1e-78  259.4   5.1    1.0  1  Seq117    
    9.4e-79  259.5   4.8      1e-78  259.4   4.8    1.0  1  Seq200    
    9.5e-79  259.5   0.0    1.2e-78  259.2   0.0    1.0  1  Seq403    
    9.6e-79  259.5   5.5    1.1e-78  259.4   5.5    1.0  1  Seq58     
    9.9e-79  259.5   0.2    1.1e-78  259.3   0.2    1.0  1  Seq435    
    9.9e-79  259.5   5.5    1.1e-78  259.3   5.5    1.0  1  Seq37     
      1e-78  259.4   5.2    1.1e-78  259.3   5.2    1.0  1  Seq409    
      1e-78  259.4   8.0    1.1e-78  259.3   8.0    1.0  1  Seq212    
      1e-78  259.4   5.7    1.1e-78  259.2   5.7    1.0  1  Seq385    
    1.1e-78  259.3   5.5    1.2e-78  259.2   5.5    1.0  1  Seq440    
    1.1e-78  259.3   5.0    1.2e-78  259.2   5.0    1.0  1  Seq153    
    1.1e-78  259.3   5.4    1.2e-78  259.2   5.4    1.0  1  Seq397    
    1.1e-78  259.3   4.7    1.2e-78  259.1   4.7    1.0  1  Seq8      
    1.2e-78  259.2   0.0    1.3e-78  259.1   0.0    1.0  1  Seq401    
    1.2e-78  259.2   5.7    1.3e-78  259.1   5.7    1.0  1  Seq481    
    1.2e-78  259.2   5.3    1.3e-78  259.1   5.3    1.0  1  Seq125    
    1.2e-78  259.2   5.2    1.3e-78  259.1   5.2    1.0  1  Seq448    
    1.2e-78  259.2   6.6    1.3e-78  259.0   6.6    1.0  1  Seq156    
    1.2e-78  259.2   5.2    1.3e-78  259.0   5.2    1.0  1  Seq215    
    1.2e-78  259.2   1.3    1.3e-78  259.0   1.3    1.0  1  Seq371    
    1.2e-78  259.2   5.9    1.3e-78  259.0   5.9    1.0  1  Seq407    
    1.2e-78  259.2   4.4    1.3e-78  259.0   4.4    1.0  1  Seq87     
    1.2e-78  259.1   5.1    1.3e-78  259.0   5.1    1.0  1  Seq24     
    1.3e-78  259.1   3.2    1.4e-78  258.9   3.2    1.0  1  Seq180    
    1.4e-78  259.0   5.7    1.5e-78  258.9   5.7    1.0  1  Seq443    
    1.5e-78  258.9   4.9    1.6e-78  258.8   4.9    1.0  1  Seq45     
    1.5e-78  258.9   5.6    1.6e-78  258.7   5.6    1.0  1  Seq201    
    1.5e-78  258.8   5.7    1.7e-78  258.7   5.7    1.0  1  Seq13     
    1.5e-78  258.8   5.2    1.7e-78  258.7   5.2    1.0  1  Seq373    
    1.6e-78  258.7   5.3    1.8e-78  258.6   5.3    1.0  1  Seq10     
    1.6e-78  258.7   5.5    1.8e-78  258.6   5.5    1.0  1  Seq173    
    1.7e-78  258.7   4.7    1.9e-78  258.6   4.7    1.0  1  Seq268    
    1.8e-78  258.6   5.2    1.9e-78  258.5   5.2    1.0  1  Seq109    
    1.8e-78  258.6   5.2      2e-78  258.5   5.2    1.0  1  Seq19     
